state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,lastUpdateEt,checkTimeEt,totalTestResults,fips,dateModified,dateChecked,notes
AK,85,1,1,1,1,A,4,2836,,5,2,2921,3/27 19:00,3/28 13:22,2921,02,2020-03-27T23:00:00Z,2020-03-28T17:22:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
AL,696,1,1,0,1,B,3,4184,,,3,4880,3/28 00:00,3/28 16:55,4880,01,2020-03-28T04:00:00Z,2020-03-28T20:55:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
AR,404,1,1,1,1,A,4,2938,0,48,5,3342,3/28 00:00,3/28 16:40,3342,05,2020-03-28T04:00:00Z,2020-03-28T20:40:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
AZ,873,1,1,0,1,B,3,7455,21,,15,8349,3/28 00:00,3/28 14:21,8328,04,2020-03-28T04:00:00Z,2020-03-28T18:21:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
CA,4643,1,1,1,0,B,3,20549,64400,1034,101,89592,3/27 17:00,3/28 16:45,25192,06,2020-03-27T21:00:00Z,2020-03-28T20:45:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
CO,1734,1,1,1,1,A,4,9942,,239,31,11676,3/27 18:00,3/28 16:44,11676,08,2020-03-27T22:00:00Z,2020-03-28T20:44:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
CT,1291,1,1,1,1,A,4,7109,,173,27,8400,3/27 13:30,3/28 14:36,8400,09,2020-03-27T17:30:00Z,2020-03-28T18:36:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
DC,304,1,1,1,1,A,4,2211,1,,4,2516,3/27 20:30,3/28 14:40,2515,11,2020-03-28T00:30:00Z,2020-03-28T18:40:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
DE,214,1,1,0,0,C,2,36,,31,3,250,3/28 00:00,3/28 16:48,250,10,2020-03-28T04:00:00Z,2020-03-28T20:48:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
FL,3763,1,1,1,1,A,4,35366,,526,54,39129,3/28 12:00,3/28 13:42,39129,12,2020-03-28T16:00:00Z,2020-03-28T17:42:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
GA,2366,1,1,1,1,A,4,8685,,617,69,11051,3/28 11:27,3/28 14:44,11051,13,2020-03-28T15:27:00Z,2020-03-28T18:44:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
HI,120,1,1,1,1,A,4,4357,3,8,0,4480,3/27 18:00,3/28 14:54,4477,15,2020-03-27T22:00:00Z,2020-03-28T18:54:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
IA,298,1,1,0,0,C,2,4375,,61,3,4673,3/28 00:00,3/28 14:57,4673,19,2020-03-28T04:00:00Z,2020-03-28T18:57:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
ID,230,1,1,1,1,A,4,3342,,25,4,3572,3/27 19:00,3/28 14:58,3572,16,2020-03-27T23:00:00Z,2020-03-28T18:58:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
IL,3491,1,1,1,1,A,4,22000,,,47,25491,3/28 00:00,3/28 16:15,25491,17,2020-03-28T04:00:00Z,2020-03-28T20:15:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
IN,1232,1,1,1,0,B,3,7175,,,31,8407,3/28 11:00,3/28 15:00,8407,18,2020-03-28T15:00:00Z,2020-03-28T19:00:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
KS,261,1,1,1,0,B,3,3671,,27,5,3932,3/27 09:00,3/28 15:05,3932,20,2020-03-27T13:00:00Z,2020-03-28T19:05:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
KY,302,1,1,1,1,A,4,4821,,,8,5123,3/27 17:00,3/28 15:06,5123,21,2020-03-27T21:00:00Z,2020-03-28T19:06:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
LA,3315,1,1,1,1,A,4,21846,,927,137,25161,3/28 13:00,3/28 13:23,25161,22,2020-03-28T17:00:00Z,2020-03-28T17:23:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
MA,4257,1,1,0,1,B,3,30792,,350,44,35049,3/27 12:30,3/28 16:33,35049,25,2020-03-27T16:30:00Z,2020-03-28T20:33:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
MD,992,1,1,1,1,A,4,11516,,226,5,12508,3/28 10:00,3/28 13:35,12508,24,2020-03-28T14:00:00Z,2020-03-28T17:35:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
ME,211,1,1,1,1,A,4,3394,,,1,3605,3/28 10:30,3/28 16:17,3605,23,2020-03-28T14:30:00Z,2020-03-28T20:17:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
MI,3657,1,1,0,1,B,3,9109,,,92,12766,3/27 16:00,3/28 13:49,12766,26,2020-03-27T20:00:00Z,2020-03-28T17:49:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
MN,441,1,1,1,1,A,4,15688,,57,5,16129,3/28 00:00,3/28 13:53,16129,27,2020-03-28T04:00:00Z,2020-03-28T17:53:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
MO,838,1,1,0,0,C,2,10082,,,10,10920,3/28 15:00,3/28 16:23,10920,29,2020-03-28T19:00:00Z,2020-03-28T20:23:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
MS,663,1,1,1,0,B,3,2560,,219,13,3223,3/28 00:00,3/28 16:14,3223,28,2020-03-28T04:00:00Z,2020-03-28T20:14:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
MT,129,1,1,1,1,A,4,3256,,7,1,3385,3/28 12:30,3/28 13:55,3385,30,2020-03-28T16:30:00Z,2020-03-28T17:55:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
NC,935,1,1,1,1,A,4,16592,,87,4,17527,3/28 10:55,3/28 16:20,17527,37,2020-03-28T14:55:00Z,2020-03-28T20:20:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
ND,83,1,1,1,0,B,3,2809,,16,1,2892,3/28 12:00,3/28 14:18,2892,38,2020-03-28T16:00:00Z,2020-03-28T18:18:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
NE,96,1,1,1,1,A,4,1904,,,2,2000,3/28 14:40,3/28 16:17,2000,31,2020-03-28T18:40:00Z,2020-03-28T20:17:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
NH,187,1,1,1,0,B,3,3656,296,30,2,4139,3/27 09:00,3/28 16:17,3843,33,2020-03-27T13:00:00Z,2020-03-28T20:17:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
NJ,11124,1,1,1,1,A,4,19386,,,140,30510,3/28 13:30,3/28 16:15,30510,34,2020-03-28T17:30:00Z,2020-03-28T20:15:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
NM,191,1,1,1,1,A,4,9196,,17,1,9387,3/27 00:00,3/28 16:13,9387,35,2020-03-27T04:00:00Z,2020-03-28T20:13:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
NV,621,1,1,1,1,A,4,7901,,,10,8522,3/27 22:00,3/28 15:52,8522,32,2020-03-28T02:00:00Z,2020-03-28T19:52:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
NY,52318,1,1,1,1,A,4,103616,,10054,728,155934,3/26 16:59,3/28 16:35,155934,36,2020-03-26T20:59:00Z,2020-03-28T20:35:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
OH,1406,1,1,0,1,B,3,19012,,344,25,20418,3/28 14:00,3/28 15:03,20418,39,2020-03-28T18:00:00Z,2020-03-28T19:03:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
OK,377,1,1,1,0,B,3,1180,,126,15,1557,3/27 08:00,3/28 15:04,1557,40,2020-03-27T12:00:00Z,2020-03-28T19:04:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
OR,479,1,1,1,1,A,4,9693,,117,13,10172,3/27 12:30,3/28 15:07,10172,41,2020-03-27T16:30:00Z,2020-03-28T19:07:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
PA,2751,1,1,1,1,A,4,25254,,682,34,28005,3/28 12:00,3/28 15:13,28005,42,2020-03-28T16:00:00Z,2020-03-28T19:13:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
RI,203,1,1,1,0,B,3,2306,138,28,,2647,3/27 00:00,3/28 15:27,2509,44,2020-03-27T04:00:00Z,2020-03-28T19:27:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
SC,539,1,1,1,0,B,3,2408,,129,13,2947,3/27 16:32,3/28 15:29,2947,45,2020-03-27T20:32:00Z,2020-03-28T19:29:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
SD,68,1,1,1,1,A,4,2592,0,,1,2660,3/28 12:30,3/28 15:32,2660,46,2020-03-28T16:30:00Z,2020-03-28T19:32:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
TN,1373,1,1,1,1,A,4,16965,,118,6,18338,3/27 15:00,3/28 15:34,18338,47,2020-03-27T19:00:00Z,2020-03-28T19:34:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
TX,2052,1,1,1,1,A,4,23208,,,27,25260,3/28 12:45,3/28 15:36,25260,48,2020-03-28T16:45:00Z,2020-03-28T19:36:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
UT,602,1,1,1,1,A,4,10710,,,2,11312,3/28 15:00,3/28 14:34,11312,49,2020-03-28T19:00:00Z,2020-03-28T18:34:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
VA,739,1,1,1,1,A,4,8427,,99,17,9166,3/28 00:00,3/28 16:37,9166,51,2020-03-28T04:00:00Z,2020-03-28T20:37:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
VT,211,1,1,1,1,A,4,2163,,18,12,2374,3/28 13:00,3/28 13:30,2374,50,2020-03-28T17:00:00Z,2020-03-28T17:30:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
WA,3723,1,1,1,1,A,4,49015,,254,175,52738,3/27 18:30,3/28 13:25,52738,53,2020-03-27T22:30:00Z,2020-03-28T17:25:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
WI,989,1,1,1,1,A,4,15232,,,13,16221,3/28 16:00,3/28 16:15,16221,55,2020-03-28T20:00:00Z,2020-03-28T20:15:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
WV,96,1,1,1,0,B,3,2331,6,1,0,2433,3/27 00:00,3/28 14:49,2427,54,2020-03-27T04:00:00Z,2020-03-28T18:49:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
WY,82,1,1,1,1,A,4,1475,,14,0,1557,3/28 00:00,3/28 14:47,1557,56,2020-03-28T04:00:00Z,2020-03-28T18:47:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
PR,100,1,1,1,1,A,4,739,792,,3,1631,3/28 07:00,3/28 16:38,839,72,2020-03-28T11:00:00Z,2020-03-28T20:38:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
AS,0,,,,,,,,0,,0,0,3/27 00:00,3/28 14:20,0,60,2020-03-27T04:00:00Z,2020-03-28T18:20:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
GU,55,,,,,,,299,,15,1,354,3/28 03:00,3/28 14:55,354,66,2020-03-28T07:00:00Z,2020-03-28T18:55:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
MP,2,,,,,,,,,,,2,3/28 04:30,3/28 14:00,2,69,2020-03-28T08:30:00Z,2020-03-28T18:00:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."
VI,22,,,,,,,106,55,,0,183,3/28 12:00,3/28 13:32,128,78,2020-03-28T16:00:00Z,2020-03-28T17:32:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead."